"Totale reizigerskilometers in Nederland; vervoerwijzen, regio's, 2010-2017"
""
"";""
"";"Onderwerp";"Reizigerskilometers";"Reizigerskilometers";"Reizigerskilometers";"Reizigerskilometers";"Reizigerskilometers";"Reizigerskilometers";"Reizigerskilometers";"Reizigerskilometers"
"";"Perioden";"2010";"2011";"2012";"2013";"2014";"2015";"2016";"2017"
"Vervoerwijzen";"Regio's";"mld km";"mld km";"mld km";"mld km";"mld km";"mld km";"mld km";"mld km"
"Totaal";"Nederland";"193,6";"198,5";"193,0";"199,5";"201,0";"192,5";"194,9";"194,2"
"Totaal";"Friesland (PV)";"8,1";"7,4";"8,0";"8,2";"8,5";"7,7";"8,2";"7,6"
"Totaal";"Utrecht (PV)";"14,3";"14,7";"15,6";"16,0";"16,4";"15,1";"15,0";"15,5"
"Totaal";"Zuid-Holland (PV)";"36,8";"38,4";"38,8";"38,4";"38,9";"38,0";"39,1";"38,3"
"Auto (bestuurder)";"Nederland";"95,4";"100,5";"96,7";"99,2";"99,3";"97,3";"97,7";"96,0"
"Auto (bestuurder)";"Friesland (PV)";"4,1";"4,2";"4,3";"4,3";"4,7";"3,9";"4,6";"4,0"
"Auto (bestuurder)";"Utrecht (PV)";"7,1";"7,1";"7,6";"7,4";"8,3";"7,6";"7,1";"7,3"
"Auto (bestuurder)";"Zuid-Holland (PV)";"16,9";"18,1";"18,3";"18,1";"18,8";"18,6";"18,9";"17,9"
"Auto (passagier)";"Nederland";"48,8";"43,9";"42,9";"46,2";"45,7";"42,2";"43,1";"42,7"
"Auto (passagier)";"Friesland (PV)";"2,2";"1,7";"1,8";"2,1";"1,8";"1,9";"1,8";"1,6"
"Auto (passagier)";"Utrecht (PV)";"3,4";"3,0";"3,5";"3,7";"3,2";"3,3";"3,2";"3,0"
"Auto (passagier)";"Zuid-Holland (PV)";"9,7";"8,4";"9,4";"8,4";"9,2";"8,3";"8,7";"8,9"
"Trein";"Nederland";"14,6";"16,5";"16,1";"17,7";"16,2";"15,8";"16,9";"17,8"
"Trein";"Friesland (PV)";"0,4";"0,2";"0,5";"0,4";"0,4";"0,4";"0,3";"0,4"
"Trein";"Utrecht (PV)";"1,4";"1,5";"1,7";"1,9";"1,7";"1,6";"1,9";"2,3"
"Trein";"Zuid-Holland (PV)";"2,9";"3,4";"3,5";"4,1";"3,0";"3,1";"3,4";"3,4"
"Bus/tram/metro";"Nederland";"5,7";"5,9";"5,3";"5,5";"5,4";"5,8";"5,9";"5,5"
"Bus/tram/metro";"Friesland (PV)";"0,2";"0,2";"0,2";"0,2";"0,2";"0,2";"0,2";"0,2"
"Bus/tram/metro";"Utrecht (PV)";"0,4";"0,4";"0,4";"0,4";"0,4";"0,3";"0,4";"0,4"
"Bus/tram/metro";"Zuid-Holland (PV)";"1,6";"1,8";"1,5";"1,7";"1,6";"1,8";"1,9";"1,7"
"Brom-/snorfiets";"Nederland";"1,0";"1,2";"1,0";"1,1";"1,2";"1,1";"1,1";"1,0"
"Brom-/snorfiets";"Friesland (PV)";"0,0";"0,0";"0,0";"0,0";"0,0";"0,0";"0,0";"0,0"
"Brom-/snorfiets";"Utrecht (PV)";"0,1";"0,1";"0,1";"0,1";"0,1";"0,1";"0,1";"0,1"
"Brom-/snorfiets";"Zuid-Holland (PV)";"0,2";"0,3";"0,3";"0,3";"0,4";"0,2";"0,3";"0,3"
"Fiets";"Nederland";"13,7";"14,9";"14,7";"14,5";"16,3";"15,0";"14,6";"14,5"
"Fiets";"Friesland (PV)";"0,6";"0,6";"0,6";"0,6";"0,6";"0,6";"0,5";"0,5"
"Fiets";"Utrecht (PV)";"1,1";"1,3";"1,2";"1,3";"1,4";"1,2";"1,2";"1,2"
"Fiets";"Zuid-Holland (PV)";"2,5";"2,8";"2,8";"3,0";"3,1";"2,9";"2,8";"2,9"
"Lopen";"Nederland";"5,8";"5,4";"5,4";"5,5";"5,7";"5,4";"5,3";"5,4"
"Lopen";"Friesland (PV)";"0,2";"0,2";"0,2";"0,2";"0,2";"0,2";"0,2";"0,2"
"Lopen";"Utrecht (PV)";"0,4";"0,4";"0,4";"0,4";"0,4";"0,4";"0,4";"0,4"
"Lopen";"Zuid-Holland (PV)";"1,2";"1,3";"1,2";"1,2";"1,3";"1,2";"1,3";"1,3"
"Overige vervoerwijze";"Nederland";"8,7";"10,3";"10,7";"9,9";"11,2";"10,0";"10,2";"11,3"
"Overige vervoerwijze";"Friesland (PV)";"0,3";"0,3";"0,5";"0,3";"0,6";"0,4";"0,6";"0,5"
"Overige vervoerwijze";"Utrecht (PV)";"0,4";"0,9";"0,7";"0,7";"0,8";"0,6";"0,7";"0,9"
"Overige vervoerwijze";"Zuid-Holland (PV)";"1,7";"2,4";"1,9";"1,6";"1,6";"1,8";"1,8";"2,0"
"Bron: CBS"
