Aantal motorvoertuigen, 1980-2021;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;Personenauto's;;;;;Lichte;zware;Motor-;Brom-;;;;;;
;Benzine;Diesel;LPG;Elekrticiteit;Overig;bedrijfs-;bedrijfs-;fietsen;fietsen;;;;;;
;;;;;;voertuigen;voertuigen;;;;;;;;
;;;;;;;incl.;;;;;;;;
;;;;;;;autobussen;;;;;;;;
;;;;;;;;;;;;;;;
;x miljoen;;;;;;;;;;;;;;
;;;;;;;;;;;;;percentage Benzine;percentage Diesel;
1980;3,77;0,16;0,31;0,00;0,00;0,22;0,13;0,10;0,81;;;;;;
1981;3,74;0,19;0,39;0,00;0,00;0,23;0,13;0,11;0,73;;;;;;
1982;3,69;0,21;0,45;0,00;0,00;0,23;0,13;0,12;0,68;;;;;;
1983;3,70;0,24;0,50;0,00;0,00;0,24;0,13;0,12;0,63;;;;;;
1984;3,73;0,28;0,52;0,00;0,00;0,25;0,13;0,12;0,66;;;;;;
1985;3,75;0,33;0,52;0,00;0,00;0,27;0,13;0,12;0,53;;;;;;
1986;3,74;0,38;0,52;0,00;0,00;0,30;0,13;0,12;0,56;;;;;;
1987;3,80;0,44;0,51;0,00;0,00;0,34;0,14;0,13;0,52;;;;;;
1988;3,90;0,50;0,52;0,00;0,00;0,37;0,14;0,13;0,52;;;;;;
1989;3,99;0,55;0,54;0,00;0,00;0,39;0,14;0,14;0,47;;;;;;
1990;4,07;0,58;0,55;0,00;0,00;0,42;0,14;0,16;0,49;;;;;;
1991;4,12;0,59;0,51;0,00;0,00;0,43;0,14;0,18;0,46;;;;;;
1992;4,23;0,59;0,48;0,00;0,00;0,47;0,15;0,23;0,44;;;;;;
1993;4,38;0,59;0,44;0,00;0,00;0,51;0,14;0,23;0,44;;;;;;
1994;4,54;0,60;0,42;0,00;0,00;0,51;0,14;0,29;0,46;;;;;;
1995;4,64;0,61;0,38;0,00;0,00;0,51;0,15;0,31;0,41;;;;;;
1996;4,74;0,63;0,37;0,00;0,00;0,53;0,15;0,33;0,41;;;;;;
1997;4,86;0,65;0,36;0,00;0,00;0,57;0,15;0,36;0,52;;;;;;
1998;5,00;0,70;0,35;0,00;0,00;0,62;0,15;0,39;0,53;;;;;;
1999;5,17;0,77;0,34;0,00;0,00;0,68;0,16;0,40;0,53;;;;;;
2000;5,21;0,80;0,33;0,00;0,00;0,70;0,19;0,43;0,54;;;;;;
2001;5,35;0,87;0,32;0,00;0,00;0,76;0,19;0,45;0,55;;;;;;
2002;5,47;0,93;0,31;0,00;0,00;0,80;0,20;0,48;0,55;;;;;;
2003;5,59;0,98;0,29;0,00;0,00;0,84;0,20;0,51;0,60;;;;;;
2004;5,62;1,02;0,26;0,00;0,00;0,87;0,20;0,53;0,63;;;;;;
2005;5,68;1,07;0,24;0,00;0,00;0,89;0,20;0,54;0,66;;;;;;
2006;5,74;1,12;0,23;0,00;0,00;0,86;0,21;0,56;0,70;;;;;;
2007;5,81;1,18;0,23;0,01;0,00;0,85;0,22;0,57;0,71;;;;;;
2008;5,91;1,25;0,22;0,01;0,00;0,86;0,22;0,59;0,79;;;;;;
2009;6,01;1,28;0,23;0,02;0,00;0,88;0,23;0,61;0,87;;;;;;
2010;6,07;1,29;0,22;0,04;0,00;0,87;0,22;0,62;0,96;;7,62;;0,80;0,17;0,03
2011;6,17;1,30;0,21;0,06;0,00;0,86;0,22;0,64;1,03;;7,74;;0,80;0,17;0,03
2012;6,25;1,33;0,20;0,07;0,00;0,85;0,22;0,65;1,06;;7,86;;0,80;0,17;0,03
2013;6,28;1,34;0,20;0,09;0,01;0,83;0,21;0,65;1,09;;7,92;;0,79;0,17;0,03
2014;6,29;1,32;0,19;0,13;0,01;0,82;0,21;0,65;1,10;;7,93;;0,79;0,17;0,02
2015;6,33;1,31;0,17;0,16;0,01;0,81;0,20;0,65;1,12;;7,98;;0,79;0,16;0,02
2016;6,40;1,32;0,15;0,21;0,01;0,83;0,20;0,65;1,15;;8,10;;0,79;0,16;0,02
2017;6,51;1,31;0,14;0,25;0,01;0,85;0,21;0,66;1,18;;8,22;;0,79;0,16;0,02
2018;6,65;1,31;0,13;0,27;0,01;0,88;0,21;0,66;1,21;;8,37;;;;
2019;6,80;1,28;0,12;0,31;0,01;0,91;0,21;0,67;1,23;;8,53;;;;
2020;6,95;1,19;0,12;0,40;0,01;0,94;0,21;0,68;1,25;;8,68;;;;
2021*;7,06;1,08;0,11;0,53;0,01;0,96;0,21;0,70;1,29;;8,79;;;;
;;;;;;;;;;;;;;;
N.B. De cijfers tot het jaar 2000 hebben betrekking op het jaargemiddelde. Voor de motor- en bromfietsen zijn de cijfers tot 2007 een jaargemiddelde. Daarna  hebben de cijfers betrekking op het peilmoment 1 januari.;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
Bron: CBS;;;;;;;;;;;;;;;
Referentiecode: CBS/CLO/dec21;;;;;;;;;;;;;;;
Indicatorcode: 0026;;;;;;;;;;;;;;;
versienummer: 24;;;;;;;;;;;;;;;
